userID,name,password,userType
1,Admin,xyz,admin
2,Amy,xyz,customer
3,Bob,xyz,customer
4,Marshall.Johns,xyz,customer
5,Natalie_Braun,xyz,customer
6,Sid_Stamm,xyz,customer
7,Ebba.Erdman,xyz,customer
8,Ruthie,xyz,customer
9,Reilly.Parisian,xyz,customer
10,Paige,xyz,manager
11,Stanton_Klocko,xyz,customer
12,Kobe,xyz,customer
13,Ellis,xyz,customer
14,Twila,xyz,customer
15,Katherine_Franecki,xyz,customer
16,Laverna,xyz,customer
17,Amina,xyz,customer
18,Glenna.Langworth,xyz,customer
19,Mckenna,xyz,customer
20,Karianne,xyz,manager
21,Jeanie,xyz,customer
22,Myrtice.Heathcote,xyz,customer
23,Schuyler,xyz,customer
24,Elian,xyz,customer
25,Luz,xyz,manager
26,Jacquelyn,xyz,customer
27,Fern.Schmeler,xyz,customer
28,Brandt,xyz,customer
29,Randy_Morar,xyz,customer
30,Jerome.Klocko,xyz,customer
31,Newell,xyz,customer
32,Audra,xyz,customer
33,Marjolaine.Hamill,xyz,customer
34,Fermin.Runolfsson,xyz,customer
35,Camron_Howe,xyz,customer
36,Hal_Mills,xyz,customer
37,Janelle.Schneider,xyz,customer
38,Everardo,xyz,customer
39,Delpha.Hand,xyz,customer
40,Aubrey,xyz,manager
41,Sonya,xyz,customer
42,Christa,xyz,customer
43,Ransom_Ankunding,xyz,customer
44,Darlene,xyz,customer
45,Christelle.Hirthe,xyz,customer
46,Maye,xyz,customer
47,Ellis_Kub,xyz,customer
48,Bernard.Lubowitz,xyz,customer
49,Isac,xyz,customer
50,Eve.Mayert,xyz,customer
51,Rozella,xyz,manager
52,Anabel,xyz,customer
53,Lamar,xyz,customer
54,Addison,xyz,customer
55,Sherman_Kuphal,xyz,customer
56,Emelia.Runte,xyz,customer
57,Gerardo,xyz,customer
58,Alejandra,xyz,customer
59,Fiona_Kuhn,xyz,customer
60,Viola.Tillman,xyz,customer
61,Reta_Brown,xyz,customer
62,Lexi,xyz,customer
63,Joyce.Roob,xyz,customer
64,Tyshawn,xyz,customer
65,Eryn,xyz,customer
66,Lester,xyz,customer
67,Leland,xyz,customer
68,Erica,xyz,customer
69,Jena,xyz,customer
70,Loma.Larkin,xyz,customer
71,Juston,xyz,customer
72,Dina,xyz,customer
73,Lane,xyz,customer
74,Rose,xyz,customer
75,Favian.Kohler,xyz,customer
76,Rebeka,xyz,customer
77,Willis.Pacocha,xyz,customer
78,Furman,xyz,customer
79,Broderick_Pfannerstill,xyz,customer
80,Fannie_Welch,xyz,customer
81,Doug_Nitzsche,xyz,customer
82,Sincere,xyz,customer
83,Dino.Paucek,xyz,customer
84,Darren.Boyer,xyz,customer
85,Marguerite,xyz,customer
86,Abigayle_Cole,xyz,customer
87,Clotilde,xyz,manager
88,Carrie_Kuhn,xyz,customer
89,Megane_Little,xyz,customer
90,Darrel.Konopelski,xyz,customer
91,Roberta_Erdman,xyz,customer
92,Garrett,xyz,customer
93,Dedric,xyz,customer
94,Nicholaus_Frami,xyz,customer
95,Fritz,xyz,customer
96,Domenico,xyz,customer
97,Santino,xyz,customer
98,Chase,xyz,customer
99,Abdullah,xyz,customer
100,Maci_Powlowski,xyz,customer
